StopID,Name,Shortname,Municipality,Zone,X,Y,RealTimeDatabaseID
3010010,Oslo Sentralstasjon [tog],OS,OSL,1,598000,6642800,3
3010011,Jernbanetorget [T-bane],JER,OSL,1,597930,6642890,2
3010012,Jernbanetorget (B.Gunnerus gt),JERT,OSL,1,597900,6642936,1
3010013,Jernbanetorget (foran Oslo S),JERB,OSL,1,597864,6642854,1
3010014,Jernbanetorget (Prinsensg),JERP,OSL,1,597746,6642718,1
3010015,Jernbanetorget (Strandgata),JERS,OSL,1,597820,6642626,1
3010016,Oslo S (sjøside),OSS,OSL,1,597975,6642559,1
3010017,Dronningens gate (i Tollbugata),DROG,OSL,1,597599,6642687,1
3010020,Stortinget [T-bane],STT,OSL,1,597400,6643090,2
3010022,Wessels plass (i Nedre Vollgate),WPL,OSL,1,597234,6642883,1
3010023,Eidsvolls plass (i Stortingsgt),EP,OSL,1,597174,6643017,1
3010024,Eidsvolls plass (Rosenkrantz gt),EIP,OSL,1,597215,6643054,1
3010025,Kongens gate (i Tollbugata),KONG,OSL,1,597432,6642764,1
3010026,Kongens gate (i Prinsens gate),KOG,OSL,1,597505,6642824,1
3010030,Nationaltheatret [tog],NAT,OSL,1,596764,6643250,3
3010031,Nationaltheatret [T-bane],NT,OSL,1,596895,6643255,2
3010032,Nationaltheatret (i Stortingsgt),NA,OSL,1,596899,6643173,1
3010035,Slottsparken,SLOP,OSL,1,596608,6643239,1
3010036,Haakon VIIs gate,HVII,OSL,1,596787,6643121,1
3010038,Frederiks gate,FREG,OSL,1,596931,6643297,1
3010040,Klingenberg,KLIB,OSL,1,596864,6643018,1
3010042,Vestbanen (i Dronning Mauds gt),VB,OSL,1,596765,6642897,1
3010044,Rådhusbrygga [båt],RÅB,OSL,1,596825,6642760,0
3010045,Aker brygge (Vestbaneplassen),ABR,OSL,1,596741,6642764,1
3010046,Dokkveien (i Munkedamsveien),DOKV,OSL,1,596592,6642902,1
3010047,Vika (i Haakon VIIs gate),VIKA,OSL,1,596809,6643000,1
3010049,Aker brygge [båt],ABRY,OSL,1,596730,6642730,1
3010050,Stortorvet (ved Glasmagasinet),T,OSL,1,597595,6643011,1
3010052,Prof. Aschehougs plass,PAP,OSL,1,597355,6643184,1
3010053,Tinghuset,TIH,OSL,1,597365,6643262,1
3010054,Stortorvet (i Kirkegt),TK,OSL,1,597643,6642973,1
3010055,Tullinløkka,TULL,OSL,1,597136,6643423,1
3010056,St. Olavs plass (Pilestredet),STOP,OSL,1,597247,6643475,1
3010057,Holbergs plass,HBP,OSL,1,596976,6643638,1
3010059,SAS-hotellet (i Holbergs gt),SCAN,OSL,1,596930,6643608,0
3010062,Kirkeristen (i Storgata),KIR,OSL,1,597807,6643034,1
3010065,Brugata,BRUG,OSL,1,598033,6643187,1
3010066,Hammersborggata (ved Storgata),HAMG,OSL,1,597983,6643202,1
3010070,Vippetangen [båt],VIT,OSL,1,597375,6641800,0
3010071,Vippetangen (ved Fiskehallen),VT,OSL,1,597356,6641937,1
3010072,Akershusstranda,AKHS,OSL,1,597226,6642148,1
3010073,Bankplassen (i Kirkegata),BAP,OSL,1,597420,6642479,1
3010074,Bankplassen (i Kongens gate),BAPL,OSL,1,597356,6642568,1
3010075,Christiania torv,CHT,OSL,1,597278,6642796,1
3010077,Rådhusplassen (trikk),RÅP1,OSL,1,597071,6642761,1
3010082,Arne Garborgs pl (ved Akersgata),ARGP,OSL,1,597566,6643400,1
3010083,Keysers gate,KEYG,OSL,1,597518,6643453,0
3010090,Bryggetorget,BRT,OSL,1,596315,6642619,1
3010093,Vika Atrium,VAT,OSL,1,596440,6642770,1
3010095,Filipstad (fergeterminalen),FIL,OSL,1,595578,6642499,1
